"contrast","train_or_test","arch","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"noent - ent","train","SRN",-0.0771365166666672,0.0349857407534808,65.0951648712466,-0.179766548009932,0.0254935146765972,-2.20479872672105,0.277285815018419
"noent - ent","test","SRN",-0.0771525500000007,0.0349857407534808,65.0951648702875,-0.179782581343265,0.0254774813432638,-2.20525700866644,0.277051852351325
"noent - ent","train","GRU",0.0155458999999901,0.0349857407534808,65.0951648700752,-0.0870841313432743,0.118175931343255,0.444349602586117,0.999984382884277
"noent - ent","test","GRU",0.0155430166666568,0.0349857407534808,65.0951648691161,-0.0870870146766077,0.118173048009921,0.444267188057477,0.999984402614628
"noent - ent","train","LSTM",-0.0203326833333315,0.0349857407534808,65.0951648692862,-0.122962714676596,0.082297348009933,-0.581170582512492,0.999742490648431
"noent - ent","test","LSTM",-0.0203051833333314,0.0349857407534808,65.0951648683272,-0.122935214676596,0.082324848009933,-0.580384547990777,0.999745711704042
"noent - ent","train","Attn_AbsPE",-0.0324969000000088,0.0349857407534808,65.09516487034,-0.135126931343273,0.0701331313432556,-0.92886128177165,0.985619693594981
"noent - ent","test","Attn_AbsPE",-0.0325401666666757,0.0349857407534808,65.095164869381,-0.13517019800994,0.0700898646765887,-0.930097976085821,0.985477609940233
"noent - ent","train","Attn_RoPE",-0.045686416666682,0.0349857407534808,65.0951648691085,-0.148316448009946,0.0569436146765825,-1.30585820630757,0.878076477980359
"noent - ent","test","Attn_RoPE",-0.0455482833333484,0.0349857407534808,65.0951648681495,-0.148178314676613,0.057081748009916,-1.30190993108576,0.879979348982141
"noent - ent","train","Attn_AbsPE_H80",-0.0508853500000047,0.0349857407534808,65.0951648695595,-0.153515381343269,0.0517446813432598,-1.4544596999834,0.794717610072011
"noent - ent","test","Attn_AbsPE_H80",-0.0574733333333378,0.0349857407534808,65.0951648686005,-0.160103364676602,0.0451566980099266,-1.64276451192818,0.664267394048994
"noent - ent","train","Attn_RoPE_H80",-0.0602616499999972,0.0349857407534807,65.0951648927636,-0.162891681343261,0.0423683813432669,-1.72246317219972,0.6047182403567
"noent - ent","test","Attn_RoPE_H80",-0.0583385999999973,0.0349857407534807,65.0951648918045,-0.160968631343261,0.0442914313432669,-1.66749649267304,0.645928002184953
