"contrast","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU",0.0122750387153823,0.00736191132702711,121.691801068775,1.66737117171163,0.638914903569667,-0.009797871864207,0.0343479492949716
"SRN - LSTM",0.00796697986111732,0.00736191132702718,121.691800590811,1.08218905488155,0.932228413794752,-0.0141059307199346,0.0300398904421692
"SRN - Attn_AbsPE",0.0428202093725981,0.00778564695874186,150.876605078869,5.49989096596768,3.28241293279241e-06,0.0195525895084928,0.0660878292367034
"SRN - Attn_RoPE",0.0397592071155621,0.00778564695874167,150.876605012791,5.106731312922,1.9955343048772e-05,0.0164915872513179,0.0630268269798062
"SRN - Attn_AbsPE_H80",0.0523640868031918,0.00778564695874188,150.876604196828,6.72572068585725,7.09869241166672e-09,0.0290964669372389,0.0756317066691447
"SRN - Attn_RoPE_H80",0.0528918888863093,0.00778564695874251,150.876607934584,6.79351236532976,4.95873797579094e-09,0.0296242690281718,0.0761595087444467
"GRU - LSTM",-0.00430805885426499,0.00736191132702711,121.691801009547,-0.585182116830069,0.997135472838436,-0.0263809694340354,0.0177648517255054
"GRU - Attn_AbsPE",0.0305451706572158,0.00778564695874193,150.87660963514,3.92326685490393,0.00248682257815802,0.0072775508026315,0.0538127905118001
"GRU - Attn_RoPE",0.0274841684001798,0.00778564695874175,150.876609638414,3.53010720185822,0.00971531844803486,0.00421654854560564,0.0507517882547539
"GRU - Attn_AbsPE_H80",0.0400890480878095,0.00778564695874195,150.876608721861,5.14909657479349,1.64998127899496e-05,0.0168214282313181,0.0633566679443009
"GRU - Attn_RoPE_H80",0.040616850170927,0.00778564695874258,150.876612367637,5.21688825426613,1.21441232008301e-05,0.0173492303220544,0.0638844700197995
"LSTM - Attn_AbsPE",0.0348532295114808,0.00778564695874186,150.87660573575,4.47660030003633,0.000294876625935192,0.0115856096487471,0.0581208493742145
"LSTM - Attn_RoPE",0.0317922272544447,0.00778564695874168,150.876605321891,4.08344064699063,0.0013747319483367,0.0085246073908468,0.0550598471180427
"LSTM - Attn_AbsPE_H80",0.0443971069420745,0.00778564695874189,150.876604998324,5.70243001992589,1.25245984761158e-06,0.0211294870778033,0.0676647268063456
"LSTM - Attn_RoPE_H80",0.044924909025192,0.00778564695874251,150.876608534077,5.77022169939849,9.02846093997489e-07,0.0216572891683047,0.0681925288820792
"Attn_AbsPE - Attn_RoPE",-0.00306100225703604,0.00736191132702506,121.691796246919,-0.415789069042345,0.999587736148374,-0.0251339128513191,0.019011908337247
"Attn_AbsPE - Attn_AbsPE_H80",0.00954387743059369,0.00736191132702524,121.691796114454,1.29638581703077,0.852406291648698,-0.0125290331640943,0.0316167880252816
"Attn_AbsPE - Attn_RoPE_H80",0.0100716795137112,0.00736191132702505,121.691796135212,1.36807943838426,0.817577088340432,-0.0120012310809119,0.0321445901083343
"Attn_RoPE - Attn_AbsPE_H80",0.0126048796876297,0.00736191132702507,121.6917960327,1.71217488607314,0.609301438493434,-0.00946803090731102,0.0346777902825705
"Attn_RoPE - Attn_RoPE_H80",0.0131326817707472,0.00736191132702492,121.691796178185,1.78386850742664,0.561450902234761,-0.00894022882374952,0.0352055923652439
"Attn_AbsPE_H80 - Attn_RoPE_H80",0.000527802083117472,0.00736191132702507,121.691795873074,0.0716936213534585,0.99999998787722,-0.0215451085123063,0.0226007126785412
